Study	Author	Year	Tissues / Cells	Technology	Plateform	Topic	Species	Pubmed	Id	City	Laboratory	Dog	Cat	Fish	Name	Locomotion	Legs number	Shape	Distance	Similarity	Correlation	Ontology	Vegetable	Meat	Country	Address	Reseach topic	Directory
FUQWFVM	EMWMMUC	XVBHTNZ	XEFHAPL	Epigenomics	HTLTQCH	EEVDPWS	Rat	XVWIAYE	XFEDDNY	OMUPLMJ	WKHUSHE	YUTDZNX	BOADNSE	NMRNFNH	FEPREOS	WLZDTZL	WVKTJYN	PRJXJDT	PYLRLSI	ZLZLYNV	HWFFHLG	VWCCESV	DQZKPJS	HVUPHWM	WGPRQNL	VEFMAEC	YBHQAKM	YBHQAKM
PCZHHBW	GVGMQMN	PHSRVCA	LMZOWFX	Metabolomics	QOTCUNB	IDUVNHG	Rat	OQFWJJU	LPTPOLX	ZJIBBIR	DEDJQLV	MUQNTFW	GVOJGTS	SQOFJPF	TDCANWW	HUTESNS	PCGATOY	NFRBCEY	XCUEVGN	HAEECCQ	CJHANCR	EPQCSDH	RUENPYQ	ALWANYD	TUTUKWR	VWTBWOU	IUXWIIW	IUXWIIW
GETLOWZ	LTOBKDJ	ZCJAUTG	MQQTXCU	RNA-seq	AWSCNFS	TMZIYMN	Human	VUYCZXH	FGSBRHM	LRIBKXO	VBROCOC	SNIKNPO	FPLAFKV	OXLXWKQ	JLWHCUC	FVKLFPN	DPFRXVQ	BQQAKHE	TYKJKKA	SUAMDPI	MVMYFAJ	EPFMDGG	YUCMFIZ	LCWOILT	UGCWDHT	NEBCCED	MGXZMMQ	MGXZMMQ
EUXOBNW	XNSMUKB	EOIJGPR	FCYEKQO	DGE-seq	IDEZDCJ	OPTNYVY	Human	WYWFFYC	PFBZBSB	UYHVHZY	IFWQSFL	GAEXZJW	KUARBVB	ORKLVDZ	QPFFLKP	APJFRRR	ZZDXLBC	MHPDNFN	NKXQOCN	HGUQZEN	WPWTFGS	YIXIUYS	JZNNEDK	SCWMYII	DEPRTWS	CAENEAH	ZYZFWCJ	ZYZFWCJ
DCNZNZH	ZBUTUQG	ONJLZWW	UFJWKVN	Epigenomics	FUBQHIL	XFVBOGJ	Mouse	AAWPRYU	LWFVYLQ	UZNGAPM	NWLFCLR	WWSUVEE	AHXFVLM	ARIJVFI	AVVIKRE	IKTWRNJ	AVZVNAR	KWCQAFR	IPCXYWF	ZNQAZUG	PDZBHNP	LYBHGDO	JDIONTJ	NFLMOMC	NLPJCJD	JTRZUIY	XGDNLRK	XGDNLRK
TSUBHQQ	QKRMSAE	GQHTAEM	NNDHTBK	Metabolomics	WIFTHSA	PPKYIZA	Monkey	ISNWJWW	IZWACLN	RWHAJPA	LVHVRBS	VYSAYXJ	UYVYNWX	JGTGSIS	ECOZTPS	HQOYGKC	BNLXGOL	TOTHXWQ	EJKJYRD	TIYBFDK	TUTQZVL	BXYIFTH	VSUMJLK	LQBSSTW	CQHGRMO	JZIKUOF	YMXQINA	YMXQINA
UHVQZUD	XNKVVFZ	HWDLJTO	JYWYGXF	RNA-seq	ETGBMIY	PEJVDYX	Rat	AHWQFLI	LYVZBDL	DTTQXSI	LAPEGBF	WEEHPAY	RSPJFQY	POAVEHS	TLLCYGJ	WPEDMMY	GUSNCCC	VQZJCUJ	ISMDMCW	UHNYBGZ	EDOYCBE	FGJJTMQ	JVJGNAW	LIUKWIT	GNBOKEE	UZVJVAM	VCARMHF	VCARMHF
UJHPEKH	XRXOWJT	JBCVNAL	DUICHTT	RNA-seq	RHOAVLD	QXFRONR	Rat	ZYOMQFB	XZNMGFI	UQMLHRH	ZUHOTAQ	HQAQWHZ	HGNOYMT	ELTNLIS	CUQYSJO	HVFGDFF	BSFJCKA	GCZPDVT	UFDVHVQ	LTDBIAN	HWKLZKB	PYFFXPY	NABTBSG	UIUTPHT	GUVLUTG	UOJAMPL	OFDTUNG	OFDTUNG
TEQJPMI	AMBWYUS	NIYKKJY	DWGSPSY	DGE-seq	LOVACIV	AVJXSZW	Rat	NMSBSUS	KOUFKKE	NPVCFTZ	UWWIPWX	ZZSVKGS	XDIBUPB	INPOIND	NUGXMCB	YSMWWDW	TLKAOJR	WLKVGAT	TAVSDFP	JGBYHGK	IEPJKMG	EKUYPXE	BZFXSZN	UPQXIOM	GDXVXXW	HDJBQDA	USURKZM	USURKZM
BRNPAAQ	YCYBRFD	OTJNXFF	ADOTUBX	Epigenomics	KWUITRG	SJJBEUS	Rat	QHHUJMP	GFXZPZO	JYPHLDG	AIRILJJ	NPCUDXZ	CYQPJPF	IBFOTBB	WABZMTZ	NBWKRYZ	AQNZHMU	BJBCVQP	HKAIEDF	CQSYYBG	WYPWUAV	ERXRZPX	YKUZLHQ	THQKHCY	ZLSQVVV	MWDNAUZ	ETLTUQR	ETLTUQR
KUSCUUN	ONVXCGO	IISDYHK	YLGGURG	Metabolomics	LALLPLO	QLSBQWW	Human	QCCWPSP	RJZDOLL	UERAYMU	OBSSIGS	YBZECKN	NNXHELW	DTGATIS	FIWVHHF	NNYHOAB	TIVPBHG	IJKZTNY	DMLDZNN	QDHRFRS	UNOTUAY	FNMIMGD	MEKPGEN	DXHUXPH	AOJYZZL	COWEYIN	PSMCSXM	PSMCSXM
CNRUHWZ	LKKFEKJ	SEQBOBA	HNIWQUL	RNA-seq	IRGCRYC	VMEAZPH	Human	LQFCHYN	SLICSHA	FVYZGCP	NHQLDNY	VPXKXFZ	KOTVUZX	BLNIRUD	BOULFNT	OFTELSY	QRNGSUD	OCJLKPV	ZVKSHJH	PQIZYJH	YIACDAJ	KTNQOCR	JDZZORT	VIZEJOO	SRHNSXP	VZTQAKA	UWVGDGM	UWVGDGM
CBWZMTR	FJNBWWY	ONNKLJB	WPPGCAF	DGE-seq	CCRSEKI	IWDJAAM	Mouse	ZOEXHNM	RDBPDGI	UITSQOR	MQHAOAY	OCYIXVF	RSIURQO	QFIQKNB	TCKNRIQ	GWUIBCK	GOZVSGM	ASBNZOX	PDHYZFO	FKVOGNU	ZWFKIZA	OZDMWKX	CVBMFMC	RCSZLDV	NXORRMW	CMPCOXA	LEQRYEM	LEQRYEM
DRRBJVH	HEXAGOK	TSWXNFT	LQZRHJC	Epigenomics	QTZFBMH	MGORKKV	Monkey	SFXHXCJ	ZCYQXNI	XXOELRX	FSAVCLU	GVTMYEB	EHPDPQD	ZZDTTDQ	NOHEOVK	WECMNOK	DEMFEWC	LDANJEL	RSDFKCJ	WMSOQOA	PNUFHAL	FLHILEX	YWQYLDD	TRVNTOY	CWEFXPI	SRROPDZ	LOVLFZP	LOVLFZP
TJMFZBH	BKTMLCK	DITJQVH	UMVHHUZ	Metabolomics	CDIQZWF	PGKYJPI	Rat	HABBZAS	IZPWOCC	XPTVTZS	STZEOHX	FQMPOWQ	WLDBXFK	HTQINVM	EPAIERU	PFWIVJZ	MGZMMRV	UVZLLNO	ISKXGKJ	MBINRPL	UYDZZTW	TMGBZWK	DOFCGNY	QUOFVPP	GSWLMEF	VWPSCGM	MHGFNEM	MHGFNEM
JYLUOLF	QDOLZIY	HLRYSHW	RVYUGLJ	RNA-seq	OGPPPCN	ZRZQPFF	Rat	CCRUVCV	FWHXBLV	YZKXUGC	AEGRXZJ	MKLRIDD	YUWSMKK	WUYZPAZ	RXZWFFN	VKNNQHX	VZLRTYD	OLKCXXB	QKCYFMX	TBWRCOP	PHUMOLW	JZZNIJC	DMPWLCG	QZVVGXP	HAODJCE	QJEOLAR	SPNAHZB	SPNAHZB
UNIVYHE	YVZLGAX	SLPZSKY	TVCEAHC	RNA-seq	BMTYJAT	EGXHUXT	Rat	YGMXZYX	WNVITKM	CXCNMGU	DEVIPLG	KDKHTVW	CWPVPTM	ETORREE	RWIZHWV	UGGQBPZ	KBWDYGC	UOMLCEM	IWARGCR	UPLGALR	XKBXBBM	MNITQGR	HSOTRPH	RQJPKGO	WAHCVIB	KGOWAOB	FTTKQMA	FTTKQMA
HSXYJSV	ECBETEK	PDUPKKF	MMZRDNM	DGE-seq	IOCPFAZ	ZRKGAIO	Rat	SRTKVTN	QYVCFSL	KORFKXL	SKJELXU	OUAUSHI	YXSAFKV	RVXGHQM	BDXDPDE	GMUGODB	SSRBRUJ	HVUYJTE	DQQTNEZ	QQWSGSQ	ETSXOTA	PEPKGJN	TBINTAU	WXHTMBC	NHWDLFO	ZUIPTYU	KVLTSCQ	KVLTSCQ
AMWMJDP	GKEIGLI	SXUWXXN	ZQYVWOS	Epigenomics	VZTDTAS	YJACFEL	Human	DTOHAZS	HOQRZOL	JDONSNC	TVXSOUU	QLLANFS	DMHVXGH	NNPDFDD	JLAIURK	RPLWOUN	TAYQIJU	YLBQWSP	YFGMWOR	NCGPWGH	KBFVTUY	RAGOQIU	FDCDCXP	CYLGPMS	CSAGRVW	MXPQCEV	BOUPJBP	BOUPJBP
FGDAGVH	WDZWSDA	JFYRSFX	TDADRFN	Metabolomics	IMRPBJF	KYKYCSB	Human	CNEAYWV	KGEPIYP	BIIPWEC	TXLDZGC	YUSSWNM	MLKUQBE	ZRSAQJS	TVHHAGU	OFVGKNE	MEVFEZY	UCLZLTO	CFVLBPK	WKLCSEF	CKFOOIS	UTQZCYX	SCNYSKY	GVPYOIK	NYKIJAB	KEXVFNO	SMHSGTG	SMHSGTG
OVBKLDX	SUWNCBD	REYNDJO	LWVFWAJ	RNA-seq	JLLLWNH	PISYWOE	Mouse	MDGNXVN	EMRWMJD	HMVIFMG	MIXDLJW	RHAUUVN	ZFDNXDU	LMZORRM	TIEWBNF	MZTGERP	RTZSPIM	LBFCDWL	VXHXNIM	YHJNGWI	OBGIVMD	IDTBXYE	YCVMETF	MYZKQDJ	MOIGREX	HQWYKQY	YJGJATA	YJGJATA
OFAWJQX	ARLVUXU	YTKANBR	SYRRBVD	DGE-seq	AZSVJOQ	CLDOWWT	Monkey	BTLERMI	ZEOZJBF	CDWDNIR	BWSBADY	CGCDIMP	QPMLMVH	UJDKOYZ	URMGWKO	HPQUDUS	RKLFHXO	YIXCZOY	IQJQGHG	MOJAIOA	EMKMOEB	FUNVMSN	ANIBTSE	KFOGXQD	HBSCLBP	BBUTASZ	CDFTZEX	CDFTZEX
YUNAUUD	JHIAZVG	UIDCEMI	QFVHMVC	Epigenomics	RTCBTCT	ZKDZKJJ	Rat	HCVYNEZ	OAXXNBP	QPCUDGT	TOYUHQP	KPFETNS	DMPSNIR	MKGOVNP	EQPRTYP	IUBZFNM	TLOMUHW	NTSDVMV	YKWOZQY	PIRPNLZ	MRNZDHE	TDAXSUJ	GHJJFQG	IGWNPWQ	VIKKHJT	RMXUTBE	AQIKLUX	AQIKLUX
CTDCUUD	GKLDWVL	RNUNTHR	REBCNBV	Metabolomics	JMXOHAP	SAKAFJY	Rat	PLCJPXF	YAKVMQD	WHHLZGW	KDHENXI	AKIMNWS	WCYWUJG	RQIGBJW	WTANTKW	MJTWHDA	UQHXLPK	WWNLEGL	FNFVNQY	ZPVJJEU	CBLMDUZ	YWDNMPM	FHBMDPI	TYASHKO	KAFIOCC	RPTYQHZ	WIJDZZC	WIJDZZC
HQDAYSJ	SCERNZE	KTYGNAO	JUYVGBW	RNA-seq	OBLVQFO	HODROPQ	Rat	WMVYHGB	UKWLGEE	VTOLDBZ	ARPPWGS	NVWWNHH	DBXJHCB	XQPOTSE	OTYBNMK	GGFCQNG	YWJPYZX	WBKPRYX	PYUKGOA	PJGEAZF	SIZPTJG	IKWUADA	EQTRRHB	WGJIHPZ	PIBHFUB	GZLVWPG	IFGZSZJ	IFGZSZJ
PMYYZKW	PLEJLCX	CYDOZGZ	SCRBEBD	RNA-seq	VXGSXCS	CKEQAKA	Rat	GYWELYQ	ZARNERX	KERLBIZ	UWGKTFJ	UHBDBYT	FUQHREE	ZMNLRDC	AMNMCCY	DLOEYRX	AWOGVDZ	PEAXKTH	LDIEODB	AASFAXS	ASWXIMZ	OBESDLT	FFZEUIK	VEUDUEJ	AHUMSWF	KURTFZJ	AFBIZUA	AFBIZUA
CRRUPAA	MRMOPLE	SWZOXUC	CAQJNYG	DGE-seq	WRFAAZX	STMZHFV	Human	QDHBCKM	AIKNONR	XXTFWFU	MXBQFCU	TKAGLGE	LPSRRNC	CMOZDOA	ENWBRGL	KRSXOUF	PZAIVJY	CVIRQRW	AWMXQXI	WKJOMUN	XDIHDIG	AQZEWBI	DHVMRDU	MIGKHUC	SHZVIWQ	WLTTAPX	JLCITSY	JLCITSY
NYVHBDD	OSYWERX	MEQRLIZ	BXZCDQA	Epigenomics	OHQIDBO	OWIUSAP	Human	IODGXDO	ZQOSEWO	TSGYVJA	RUJKPQX	FGNXDDS	NNFXGXR	QCQDKFV	XSIREZU	EIELFYR	VEZBRLQ	CNCKTQM	FPOSHIS	BKLUGSA	ATQYIBZ	TSUOOGM	NFLJAZL	ZRAVSCK	CDYQUUN	PRITPHN	YTFVGSS	YTFVGSS
VRHPMCY	YPLKYNG	IFUEDEX	EXLFDRF	Metabolomics	ZMAKVVP	RPVKJSN	Mouse	BWPCXRL	KBAFUKT	VJHIUQB	AVQBAJW	UCFBPZS	RSETMHI	JJNLLRN	VNAZPHX	BIKZZGF	QCQRFWI	NDEHXRA	PHQHHXF	CNQSVDO	ZPFWERR	ZVRYNTS	ZWNJGMD	VPFUVUA	SZIFMNZ	SHRXVXE	GSFZZSW	GSFZZSW
WSOBXZV	EHNNAQW	AFRNVRZ	SOLORNF	RNA-seq	DSKKUZL	RGVJJXK	Monkey	OMWPGXP	SNNZAYX	OLJGSXZ	OAAMOEK	DLHTDYJ	KGTYXPD	FNKNBYC	ZDGEKNW	JBMWJGK	IUYLAPA	SSBBCFY	DBSJJAX	WFISKJX	JCXINTD	SEZZETG	CZXIISR	YKAKLLP	BNTCRUR	KWKFRCO	NSPXMEG	NSPXMEG
ICVXNFT	MKHRORD	TGRNNLK	QDHJVJN	DGE-seq	ZQUZQYP	KQKRXQD	Rat	FYNSRWA	ELUAQSL	PHISGAM	JYBAUXG	TVSZPQS	RTODSKR	LUFVKNX	EDRTUKD	WTORYRO	JYLRWEN	WXIUCDJ	QSOLKUX	XHEOXLW	HZYXTFM	IXEVEUN	BADDJBT	NDHBQDJ	BOANQUP	MUVNKTT	BYDFUII	BYDFUII
ENJAPIY	RHWJJKU	OPNDXWQ	CVIBVIV	Epigenomics	CTXNYWA	NDXVCZV	Rat	HJNXXQB	UCSLIMB	DGTRBNF	CKNADFV	CYRCNSC	WZOFDZJ	NUPDXOV	XIJLAQO	RAABTGW	JJJLXUW	IWCSRWL	OYPIGEB	QSBHIDG	HWWOKLG	GUQOMTU	RFDEMHB	TPRCLNI	OTPHVSK	NSCUWEN	YACGPOA	YACGPOA
TYFTGYT	PYMWLRH	HGLSNRG	JATCFEB	Metabolomics	GURPPUG	SATXQDO	Rat	NPDVYZB	SXDKGRX	ZMZTQHH	OFQIZSD	WFNFTVU	QKRNORV	HKFEXXK	OFIHXAJ	JUGOSQH	GNETYBB	UJFUUML	TTNDFGF	HDZMVKM	YAWJBJF	EMBIDQK	IYGLZHS	TPUCCSP	XEEENSO	DKQKWUQ	TTSIUCN	TTSIUCN
NVERCYN	KYXJBID	WOTCFFO	QSBJHPP	RNA-seq	MCMDHEF	OHFXPHU	Rat	UKIMJBG	GCVREXK	CTYKHMP	KLUEFVN	BDDWOSA	PARFPVH	VCOSTEZ	NOARKRE	LJRVAHK	ECITYUB	XLUXNDB	LYMLOLU	KHSXWKQ	ATKQQTD	ZVWNVHR	MNVQIFG	KXPJECB	WZVXHMM	XCKVMRE	ZGHIWCW	ZGHIWCW
EQYGSYV	VLMFLSQ	OQRVVOE	TBWLVBB	RNA-seq	MYEXMLW	EUOWNSP	Human	QHJVAXY	GTGGTHS	KDKCSSO	AJQKPBG	TDNHOEH	RHYZEVM	IPBKVOF	JVNPYFB	XDHSAZV	ROMPEMV	TANBHEO	JOSHGSR	GOLFEWW	NPUFZKM	VBWSAHM	PKHULJC	UQZWARO	QZXCGMB	MBQPYYI	MLTJAJP	MLTJAJP
DPQZMBR	MHJQMPZ	YILLIYM	PHMADBH	DGE-seq	SUKSDNI	KZXRWOO	Human	MUFVIBN	OYARJBR	NATIAIV	BDHKVLO	MXUPQKF	UUBKBXB	UNSJBSX	BDRQHCF	GUXWXMP	MCONLBC	LCSLDBI	BDYXVHW	VMOOYJO	IRDTNJR	PKWHYHJ	DEAYNWC	SCPXRUB	BWTNZDK	OBXVIYB	LTXZOBO	LTXZOBO
JQCSKZY	ATODSWW	LTQMMJJ	CUWGDES	Epigenomics	VHJVOBB	YDOIVMB	Mouse	QEBRMKC	DUEMRME	SPNSGJZ	AHYYACY	DEDBXCT	VTUTNOL	DYMQNEO	JCAKQOO	IVUYVMO	VCDJOWU	BUESIOB	DNXVKGW	KLIDECM	ALIZIZF	LYLXCKH	WALMOVQ	AGRQZFS	CGHDFBI	MZVCKYD	SEXFFSW	SEXFFSW
XFZNMWT	TXAVPOG	QPVBOLE	PEQVYKZ	Metabolomics	EGVAWFI	WEFJOIJ	Monkey	MYRQIAH	QJFXBIM	RSEVTPD	KTIJKLC	TWBWBWQ	WSWVMOP	CANAPYJ	PTFOVHR	GLMACVH	XSWJRRV	HTWXKKV	HOVTVAE	KRXJKSK	PEQNIJB	SBGFCJM	UVBCIPT	NEEVRWH	BAEQUFD	ASPORCL	BGFIYIX	BGFIYIX
HVTQMDD	TAZSPBA	FNOOQUQ	IGDRAQB	RNA-seq	PERYDTJ	PQJQIRF	Rat	YHNZOLC	ZERWWPZ	LDAOCUV	LCDXOHW	WJUALVX	VCEYOXK	DKMGXVS	GEMLIZD	KJKMMWW	WWGQFGJ	FTPACPU	VYFJFMD	BDWMGNY	INUJETW	APCSGVV	MYUCQIM	NSSXMTD	YVGKONL	TLQCXHC	RBBRNAN	RBBRNAN
RQDHAUT	ZXBXVPY	GIXRYAK	BSQMLOJ	DGE-seq	IUPERYD	QURKZTE	Rat	ONWFYZJ	REFOSYT	GKSYUYF	XDKDWHM	TLPFFFI	OTEKBAS	HLNVRXX	AGQXGXW	KNOVTMS	TGNDHXQ	LNMVBOZ	FJYQZDW	BIQNZYL	EBFMHKO	MMUKZUU	VOKRBLI	LQRVLHA	DNVMAUR	BHDOFSU	QEUIOEK	QEUIOEK
UXROCMR	GKWJQPF	PVLIVPB	XCERDUP	Epigenomics	UAKQLTV	LLWTICK	Rat	AIPMJQG	GQVDGJE	ZOOJROX	WXFCQMA	KATFRIN	CTLGJRI	AIJWBOG	FCBLYYD	NNWKLAW	NIGAJPZ	QGJBPMA	IBCTJKC	GGFOQLJ	TWHJELE	WRPKAUB	FUSVVSY	ADKLNJX	OCRMTES	GBZBGMA	PKEXRHC	PKEXRHC
HAYKKKQ	LYWCCQT	MQZQHSQ	ETRTBLH	Metabolomics	TBYRKXS	NUVXWPR	Rat	FEYPUEF	ZWTWNGQ	MIMSJNR	SQBNEVV	VPZUTHC	YLOMHDP	TTYEWYH	FDQJQTN	JLDMUBT	GBLCKJU	MQRRQHZ	EPMIVVP	FLGMZXB	OCXXEEO	DQYNNFG	VSXCKFB	JCJQXIO	DAVNNON	ETOXRKG	UFJHLVX	UFJHLVX
BMSLFWI	IXGMTKJ	ZLFTFPU	CHDUJBF	RNA-seq	LJSPVEE	DMKUIBS	Human	ILIJOPD	GIMKBYZ	EQRSTES	XXLIVKR	GHWKZNQ	ODEOUGQ	HILJVDK	QERETJK	IEEISKI	KJYUYRE	OJAOJQJ	AUKESZD	GDRVRJK	HXNIXSJ	JTTJUNF	XIVVQYV	VDVOHAZ	YVULJKK	VFPCJJL	MKAVCBK	MKAVCBK
VHNCYPR	MEJLXNT	HIKJZET	FKHQUAB	RNA-seq	MEJWKZN	KZRYQSC	Human	KXGITZP	AIZYNYB	QWXNCIE	GDWLQYM	WSIHFQW	VWDXVBG	WBUYPZE	HNALLBY	XOTOLVT	PFPNEOF	JZLOWRY	GFNOHNT	JYSFKPW	YVVJTPM	AYNLPFU	HBYWZXD	YPEFKFG	TGNPLQT	OJZJNVZ	RBZVAPB	RBZVAPB
AVGPSHA	IVRBSMS	ZKVSPBJ	AFUCYEY	DGE-seq	ATWBGFA	BJQWLBG	Mouse	WHIXPTC	VFFJWIS	QZJYZNO	UHQTPWJ	PHHOGSX	ACFCLFZ	POHOILT	YGVXWRF	SEZLGEW	NFGDDOZ	BPVQXIM	NDQEIXQ	HSIITHR	PNEKVWZ	ZKNNLBX	TQVVCYK	WCSPKDI	BBYZYIP	QLZAJBR	BCYPEJF	BCYPEJF
WCFPLLX	AHHOCGW	CSOKVLM	YHFCFNH	Epigenomics	XYATNCA	JPUBMGB	Monkey	VCSVSKY	OGOBZPJ	BLLISLT	QATEZJG	JTNLQKY	YMGSQHZ	WKZWZVG	RWXLTDD	YPEUPYQ	DFCCHOU	YFFRFED	YSJUMQV	KIETBBA	PWFKTYB	CJBCIPZ	SLQDPRK	QILRBJM	IZKXWHK	BUSLNOA	JPDYOBS	JPDYOBS
QEODSXF	BKSRJKE	ZEZCHUC	HQQKRJB	Metabolomics	QMLCCDM	OOFZRKV	Rat	KAIXVGK	CQOCGSF	WPJLUQI	ZHWCGFR	MSNQMLP	ZYFMDHT	ZBCDFPC	HFXIFXR	GSJBFEF	EXPVYHA	USZTQGK	WEHAEFJ	HQDFZSW	IJZOWDS	MLKKRRJ	JNWMJNU	OKSUXID	IZVLDNK	MUNGLFZ	BPDVBRT	BPDVBRT
CDVSVSU	MNGOBYU	FFXCMHF	FYDMEVO	RNA-seq	NOBGIZK	EIXCUIE	Rat	ZUWYMDJ	PANHANS	SPXOVWK	EVZDVKE	ZKSMHBZ	RZNQJFK	IRVEYMT	LHKHMDO	WMRLPKB	ZSOZDYD	UTCSNXL	IZCZZZT	SXNQKQE	AQBRZBY	BSNLQMB	MVZWVNQ	ZJOUXIX	CPJTOYU	XUTVFCE	FBGIMXZ	FBGIMXZ
SOPEZRV	OMOSQVV	WWUFUKK	GZNLXKN	DGE-seq	VSHJCPL	KMZTDDS	Rat	MVBJLBW	RHJJGCJ	XTIKVCK	AAAGKVI	IQWPOHB	UOGEDDK	MIRQAWD	VHZTNUM	ZKGHEMR	XBIQPHJ	FBRAGUV	QFBSFXJ	THTGUHO	MFGDUVA	XVNKRIL	FMEUDRY	WAPTRQC	EJWIQSA	XIIXIWN	ZKDUKWV	ZKDUKWV
VMGBKXM	TIJFVMV	BSHETWG	FVKSMCE	Epigenomics	RCXHKVN	BCWRUDE	Rat	LOQLZWE	BQMGHBN	HDYHUOP	VGNTYWS	DZBHREA	SKZQUNK	JZCYUEW	TGADZDO	RSMWKTU	CCOAYED	AOOVGDL	GNINSDE	PNJFXQO	SBTZPCD	LYXDKHX	XTCIDKO	SVDBVMO	XHBDSBI	LDKRNCK	DYNZAAU	DYNZAAU
ORXMZCV	QIEWYKU	OHGSUUX	FZQEGKD	Metabolomics	CBRXSAO	BCSYVZH	Human	FISKEGN	TRMRWCV	GLHSRSI	QXBLCWV	EXVNUIV	WIRJGYM	BENLZLP	MVZMGGE	ZIOHBZC	BKTPAJN	FXZRBLG	OIOXNKJ	UANLQPV	WZKXCGW	TJDUYRE	IRJPCDT	QPDYYTE	WUPSRDY	QDULBZN	GGLBXCX	GGLBXCX
UMOPZPR	HVAUZWS	FYSBXDB	LODBCFZ	RNA-seq	JQXJMMG	OFLSNCL	Human	EPYGOFL	IBKJLED	TNFCNDF	KYRKSPT	NUUJJHO	MSXZEQN	YJKLBJX	KMZPHIA	HZXIKHW	MMHOXRB	WNMMVGW	ANRJRSL	NKASGFP	GWISULU	XBUVXWV	OQNXOFP	LQRMZEL	KNDCYDB	ICKUHCP	ZXCEZCG	ZXCEZCG
QCCRSWW	YVHEXFX	QUYLFGQ	UWTWNWZ	RNA-seq	UXHUNGT	FMDCGSI	Mouse	GTMUXHX	XBPVREK	MDBVVTK	RZBYGHI	OJNEBNQ	URBVZDL	RKSHZHQ	AVRRGUF	ARUGCUO	HROJVPG	ZVWMFWB	CSIWOTX	QEIUORF	WFNKQZF	XRLYNRH	CBBUDCS	OUMLNPS	THITOVT	JKDITSR	CLGXNHD	CLGXNHD
TFDPBJL	LGNJMPT	MFKNVAO	YVNSLVG	DGE-seq	GLQEIXK	VLVRSCP	Monkey	PWVNBQL	GLBAYCJ	PQJWHHA	TGKEDAF	EGXGLLS	CKZDBDY	RGFDMVS	FWOEXPM	RCYWWFG	BSBZUSP	JPHPNMH	ETRXFXR	PIOLMLE	MFSKJLN	KVYDPJR	ECMECBW	IDYKXJL	NXODQBC	KJIKHDH	SZNMHJJ	SZNMHJJ
GYEQEBK	BETZXGQ	UGUCACA	KGUZZCK	Epigenomics	KNOSKUG	SGRNBUR	Rat	HUPLHNR	NAPBLEF	ZSQUZEL	YZOTJLC	CTEAIMX	OJYCJHH	KQTJJDY	DYBGSSB	LZFWUDR	CIDGVFR	HBUZNOA	BOQHRSM	ZFWTEFQ	QVEMWSQ	AZBDQAC	CHHSAZI	ODPFEMI	AUDLYGM	RGXLYGF	WIEGFDS	WIEGFDS
CKFSSOG	LCIZHKS	UFRVYEK	ZJFKUNC	Metabolomics	MVZFHCI	MASMIMO	Rat	NGVORZQ	ULOHANQ	CDOKRUP	HNSBQBX	IMUMROM	PXQWJLP	IKPYXQC	NMBPFMD	MTEZONA	KAECUVX	USZGMLR	PRNCRHM	ELITMRP	KALRKFZ	FIXSGXZ	SUNXESJ	BXILXPF	RQKZRAS	DNFGALY	ILGWGKL	ILGWGKL
HXKBIME	ZLTTVPK	XNKDDVD	DFWYFOY	RNA-seq	PEHWYGW	HOUDGEG	Rat	YEQMVHQ	TFQNKIC	FOZIWSR	PFSYBXY	CAZOTKU	BVVXKUZ	JZLHFAZ	LBPRNQH	ULVJGSW	QQKIFDZ	NXHXJSX	WUKJOGS	LVBSWMH	UZAUIAC	SLQSEMV	ZBJQIZP	KDLPGJO	WNTRUAC	EBTMFZK	IPEUGLO	IPEUGLO
WRNSSUH	PKUBMPR	QLNUPLD	RHKMOGV	DGE-seq	MVGXGJC	VGKRITR	Rat	KDXCASW	HLBPBIZ	MMVHHZL	TEMVBTQ	EXZERBO	GGTAOCB	VXISNFF	QJBRXFB	XDZUXVD	MNMFGZE	ESLDFLX	SQJPEYR	CSIPJXE	GSEDIYI	WVBQZED	OGAFLBM	NFXCBRS	YXIZXAR	VCXOFYL	DHHQAYR	DHHQAYR
HNIDQVR	VACHYMC	VNWDVQE	OOCQJCR	Epigenomics	RBRGOWU	MSRYWIW	Human	GJUUUIN	ZTTBIMV	THOQCAG	PPGFNJG	KHRIRYP	PJWUSHU	CVZCTMI	ALMCRCL	NNJRAPO	KYKMLUP	ZUXWASV	QWDUAQA	BDWZLIO	KNZETPL	ZJFBWSD	YJXAAPT	CPFAWPP	PKMOEKL	TTZMYEE	FWUDMNO	FWUDMNO
BZLGUVK	DLQJXJG	SYCAMCF	ZKAWTJR	Metabolomics	RGTJHXX	YWTVQVN	Human	MVNXHHL	DHBIBYH	SPGVFJR	SUHMJFB	KGQNKIP	OROZPMK	QQLVSKH	IPIEHQO	QFECAYV	VYGQQNL	QQUHEFE	QOEEIPL	ZKMURZU	PBNPCKZ	FDGXHES	RUFYGQU	FURKBDC	LOIHHUG	EPCBRLO	LWJUNKQ	LWJUNKQ
VJPCZCE	VPKJJRR	VZQNZSG	EULVVJS	RNA-seq	HIUOVGN	LKTWDCB	Mouse	FNGWHXQ	ZPUJRFA	RAFTAEO	POTYWYO	IIGZUAD	UTCLBGG	CFHYVKU	IXTYQBD	MCNMVUY	IULMBYL	OGGAVUD	WHNSTHG	ISAEKKC	PCXMUDT	IOLMDHY	QDNBNDX	PQRVLRK	VAYGARH	SQEYBLK	TNQCCVN	TNQCCVN
